TimeStamp,Business Type,Product Managed,Product Categories,Current Ops Method,Why Current method?,Most stressful part of operations,Platforms used to receive orders,Main problem with current order system,Review Frequency,Needed sales or customer insights ,Digital Invoice Importance,Stock Monitoring Method,Unaware Stock out? ,Stockout Loss Count ,Stock Impact,Track Expiry/Reorder,Improvement Needed,Pricing Confidence,Track Profit/Item? ,Fulfillment Bottlenecks?,Bottleneck Example,Mobile Tools Likelihood?,Desired Features,Multi channel Sales,Need Sync System,Tech Savy Level,Want video tutorials or onboarding help? ,6 months goals,Location,Unmet Needs
2025/07/29 4:42:13 pm CET,Banking ,51- 200,Other,A mix of digital and manual methods,Other,Finding reliable suppliers,Phone Calls / SMS;WhatsApp or Social Media DMs;Walk-in customers with physical receipts,Double confirmation ,Weekly;Occasionally,Top-selling products,Very important,Excel or spreadsheet,Yes,None,No/Minimal Impact,Yes -always,Taking stock and noting down their expiration date,Very confident,Yes,"No, my process works well",None,Very likely,Expense tracking,"Yes, I sell online and in-store",Yes,Very confident with digital tools,Yes,Increase revenue;Reduce waste/losses;Get more customers;Manage things more easily;Expand to new channels or locations;Train my staff,Anambra ,None
2025/07/29 4:56:06 pm CET,"Agriculture (e.g., farm produce, processing, storage);",Less than 50,No Product,I use Excel or Google Sheets,Not Stated,Miscommunication with customers or delayed orders,WhatsApp or Social Media DMs,None,Weekly,Slow-moving or dead stock,Slightly important,Notebook or manual list,No,1-2 times,No/Minimal Impact,Yes -always,A laptop,Very confident,No,"Yes, I forget or miss orders",None,Maybe,Quick invoice & quote generation,"Yes, I sell online and in-store",Yes,Comfortable with some apps,No,Increase revenue,Lagos,LinkedIn 
2025/07/29 6:24:56 pm CET,"Retail- Physical store (e.g., clothing, electronics)",Less than 50,Fashion & Apparel,I write everything in a notebook,Other,Keeping accurate sales and expense records;Miscommunication with customers or delayed orders;Finding reliable suppliers,Phone Calls / SMS;WhatsApp or Social Media DMs,Poor communication from suppliers ,Daily,Customer lifetime value,Not important,Notebook or manual list,Yes,None,Customer Loss/Dissatisfaction,Yes -always,Change of supplier,Very confident,Yes,"Yes, delivery takes too long",The supplier lied that he has done the waybill for the delivery which was a lie and my customer constantly called and complained making me look like a didnt know what I was doing or like I was about to scam her,Very likely,"Sales performance dashboard;Delivery management & notifications;Integration with WhatsApp, Instagram, etc.","Yes, I sell online and in-store",Maybe,I need help learning new tools,Yes,Increase revenue,Online,None
2025/07/29 6:29:39 pm CET,Manufacturing/Production,Less than 50,Creative & Art,A mix of digital and manual methods,Other,Running out of products unexpectedly;Miscommunication with customers or delayed orders,Phone Calls / SMS;WhatsApp or Social Media DMs,No issues,Daily,Sales by time of day or week;Profit per product;Customer lifetime value,Very important,Physical count by sight,No,None,No/Minimal Impact,Not applicable to my business,This is not incline with the kind of business I do,Very confident,Yes,"No, my process works well",None,Likely,"Automatic customer follow-up messages;Profitability tracking;Delivery management & notifications;Expense tracking;Integration with WhatsApp, Instagram, etc.","Yes, I sell online and in-store",Yes,Comfortable with some apps,Yes,Increase revenue;Reduce waste/losses;Get more customers;Manage things more easily;Expand to new channels or locations,Anambra,None
2025/07/29 7:34:10 pm CET,"Wholesale/Distribution;Food & Beverage (e.g., restaurant, catering, packaged goods);Manufacturing/Production",Less than 50,No Product,A mix of digital and manual methods,Other,Keeping accurate sales and expense records;Managing multiple staff members,Phone Calls / SMS;WhatsApp or Social Media DMs;Walk-in customers with physical receipts,Seamless convergence of digital and manual solutions ,Weekly,Slow-moving or dead stock;Repeat customer rate;Expenses vs Revenue summary,Very important,Excel or spreadsheet,No,3-5 times,Negative Financial,Yes -always,Completely going digital ,Somewhat confident,Yes,"Yes, I forget or miss orders",Missed supplying an anniversary order,Very likely,Sales performance dashboard;Quick invoice & quote generation;Profitability tracking;Staff management;Barcode/QR scan with phone camera;Custom reminders or daily summary,"Yes, I have 2 or more branches",Yes,I need help learning new tools,Yes,Increase revenue;Reduce waste/losses;Get more customers;Expand to new channels or locations;Train my staff,Lagos ,None
2025/07/29 8:14:48 pm CET,"Online-only (E-commerce via Instagram, Jumia, own site, etc.)",Less than 50,No Product,I dont have a formal system,Not Stated,Miscommunication with customers or delayed orders;Remembering customer orders and preferences;Finding reliable suppliers,WhatsApp or Social Media DMs,Sometimes I might not be online when a customer requires my attention ,Monthly,Repeat customer rate;Profit per product,Not important,Physical count by sight,No,None,No/Minimal Impact,Not applicable to my business,Order on payment ,Very confident,No,"No, my process works well",None,Maybe,"Automatic customer follow-up messages;Delivery management & notifications;Integration with WhatsApp, Instagram, etc.","No, I sell in just one location",No,Comfortable with some apps,Yes,Get more customers,Online,How to reach more customers 
2025/07/29 8:47:34 pm CET,"Retail- Physical store (e.g., clothing, electronics)",More than 500,Fashion & Apparel,I write everything in a notebook,Other,Running out of products unexpectedly;Delivering products to customers efficiently;Finding reliable suppliers,Phone Calls / SMS;WhatsApp or Social Media DMs,None ,Daily,Repeat customer rate,Moderately important,Physical count by sight,Maybe,1-2 times,Customer Loss/Dissatisfaction,Not applicable to my business,None ,Somewhat confident,Yes,"No, my process works well",Perfectly good ,Definitely - I need this now,"Automatic customer follow-up messages;Profitability tracking;Integration with WhatsApp, Instagram, etc.","Yes, I sell online and in-store",Yes,Comfortable with some apps,Yes,Increase revenue;Get more customers;Expand to new channels or locations,Delta ,None
2025/07/29 8:49:02 pm CET,Manufacturing/Production,Less than 50,Fashion & Apparel,I dont have a formal system,Understanding & Familiarity,Running out of products unexpectedly;Miscommunication with customers or delayed orders;,WhatsApp or Social Media DMs,Ignoring of my messages and mostly late replies,Occasionally,Top-selling products;Sales by time of day or week;Profit per product;Customer lifetime value;Staff performance/sales tracking;Expenses vs Revenue summary,Slightly important,Physical count by sight,No,None,No/Minimal Impact,Not applicable to my business,Not applicable to my business,Somewhat confident,Maybe,"No, my process works well",None,Likely,Sales performance dashboard;Automatic customer follow-up messages;Profitability tracking,"Yes, I have 2 or more branches",Yes,I need help learning new tools,Yes,Get more customers,Lagos,Advertise my goods and bring in more customers
2025/07/29 9:30:57 pm CET,"Retail- Physical store (e.g., clothing, electronics)",Less than 50,No Product,I write everything in a notebook,Tracking & Monitoring,Keeping accurate sales and expense records;Managing my time and tasks,Phone Calls / SMS;WhatsApp or Social Media DMs,None,Occasionally,Top-selling products;Profit per product,Very important,Notebook or manual list,No,None,No/Minimal Impact,Not applicable to my business,Not applicable to my business ,Somewhat confident,Yes,"No, my process works well",None,Definitely - I need this now,Quick invoice & quote generation;Automatic customer follow-up messages;Profitability tracking,"Yes, I sell online and in-store",Maybe,Comfortable with some apps,Yes,Get more customers,Lagos ,How to do my pricing 
2025/07/29 10:45:54 pm CET,"Online-only (E-commerce via Instagram, Jumia, own site, etc.)",51- 200,Fashion Accessories & Beauty,I use a mobile app or POS system,Ease & Simplicity,Running out of products unexpectedly;Miscommunication with customers or delayed orders,WhatsApp or Social Media DMs,Network Issues ,Daily;Weekly,Top-selling products;Sales by time of day or week,Very important,Physical count by sight,Yes,1-2 times,Brand/Reputation Impact,Yes -always,A book record ,Very confident,Yes,"No, my process works well",None,Very likely,Sales performance dashboard;Stock level & expiry tracking;Delivery management & notifications,"No, I sell in just one location",No,Very confident with digital tools,Yes,Increase revenue;Reduce waste/losses;Manage things more easily,Lagos,None
2025/07/30 3:54:28 am CET,"Online-only (E-commerce via Instagram, Jumia, own site, etc.)",Less than 50,Fashion Accessories & Beauty,A mix of digital and manual methods,Not Stated,Miscommunication with customers or delayed orders;Managing my time and tasks;Delivering products to customers efficiently,WhatsApp or Social Media DMs,Some customers are rude ,Occasionally,Top-selling products;Sales by time of day or week,Very important,Notebook or manual list,Maybe,I don't know,Uncategorized,Yes -always,None ,Somewhat confident,Maybe,"No, my process works well",None,Very likely,Automatic customer follow-up messages;Delivery management & notifications;Expense tracking,"Yes, I sell online and in-store",Yes,Comfortable with some apps,Maybe,Increase revenue;Get more customers;Manage things more easily,Ogun  ,None
